ymin,97.3,97.4,97.5,97.6,97.7,97.8,97.9,98.0,98.1,98.2,98.3,98.4,98.5,98.6,98.7,98.8,98.9,99.0,99.1,99.2,99.3,99.4,99.5,99.6,99.7,99.8,99.9,100.0,100.1,100.2,100.3,100.4,100.5,100.6,100.7,100.8,100.9,101.0,101.1,101.2,101.3,101.4,101.5,101.6,101.7,101.8,101.9,102.0,102.1,102.2,102.3,102.4,102.5,102.6,102.7,102.8,102.9,103.0,103.1,103.2,103.3,103.4,103.5,103.6,103.7,103.8,103.9,104.0,104.1,104.2,104.3,104.4,104.5,104.6,104.7,104.8,104.9,105.0,105.1,105.2,105.3,105.4,105.5
17.6,Forest,Forest,Forest,Forest,Ag,Ag,Maize,Maize,Maize,Maize,Forest,Forest,Forest,Forest,Forest,Forest,Forest,Forest,Forest,Forest,Forest,Ag,Ag,Rice,Forest,Forest,Ag,Ag,Ag,Sugarcane,Forest,Forest,Forest,Forest,Forest,Forest,Ag,Ag,Ag,Ag,Maize,Forest,Ag,Ag,Ag,Ag,Forest,Maize,Rice,Rice,Rice,Rice,Ag,Rice,Rice,Rice,Ag,Rice,Ag,Ag,Ag,Rice,Rice,Rice,Rice,Rice,Rice,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag
17.7,Forest,Forest,Forest,Forest,Ag,Forest,Maize,Maize,Maize,Maize,Maize,Forest,Forest,Forest,Forest,Forest,Forest,Forest,Forest,Forest,Forest,Forest,Ag,Ag,Forest,Forest,Ag,Ag,Ag,Ag,Forest,Forest,Forest,Forest,Forest,Forest,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Rice,Ag,Rice,Ag,Ag,Ag,Ag,Rice,Rice,Rice,Ag,Rice,Rice,Ag,Rice,Rice,Rice,Rice,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag
17.8,Forest,Forest,Forest,Forest,Ag,Maize,Forest,Maize,Maize,Maize,Maize,Forest,Forest,Forest,Maize,Forest,Maize,Maize,Forest,Forest,Rice,Ag,Rice,Ag,Forest,Maize,Forest,Maize,Maize,Ag,Forest,Forest,Forest,Forest,Forest,Forest,Forest,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Forest,Ag,Ag,Ag,Ag,Rice,Rice,Rice,Ag,Rice,Ag,Ag,Ag,Ag,Ag,Rice,Rice,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag
17.9,Forest,Forest,Forest,Forest,Forest,Maize,Maize,Maize,Maize,Maize,Forest,Forest,Forest,Forest,Forest,Forest,Forest,Forest,Forest,Forest,Maize,Forest,Forest,Ag,Maize,Forest,Forest,Ag,Forest,Forest,Ag,Ag,Forest,Forest,Forest,Forest,Forest,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Forest,Ag,Ag,Ag,Ag,Ag,Forest,Forest,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Rice,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag
18.0,Forest,Forest,Forest,Forest,Forest,Forest,Maize,Maize,Maize,Forest,Maize,Forest,Forest,Forest,Forest,Maize,Forest,Forest,Forest,Rice,Forest,Maize,Forest,Forest,Rice,Maize,Forest,Forest,Ag,Forest,Forest,Forest,Forest,Forest,Forest,Forest,Forest,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Forest,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag
18.1,Forest,Forest,Forest,Forest,Ag,Forest,Forest,Maize,Maize,Maize,Forest,Forest,Forest,Forest,Forest,Ag,Forest,Forest,Forest,Forest,Maize,Maize,Maize,Maize,Forest,Forest,Forest,Forest,Forest,Forest,Maize,Forest,Forest,Forest,Forest,Forest,Forest,Forest,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag
18.2,Forest,Forest,Forest,Forest,Forest,Forest,Maize,Rice,Maize,Forest,Forest,Forest,Forest,Ag,Forest,Forest,Forest,Forest,Forest,Forest,Ag,Ag,Forest,Maize,Forest,Forest,Forest,Forest,Forest,Maize,Maize,Maize,Ag,Maize,Forest,Forest,Forest,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag
18.3,Forest,Forest,Forest,Forest,Forest,Forest,Maize,Maize,Forest,Forest,Forest,Forest,Forest,Forest,Ag,Ag,Ag,Forest,Forest,Forest,Ag,Maize,Rice,Forest,Ag,Forest,Forest,Forest,Forest,Maize,Forest,Maize,Maize,Maize,Maize,Forest,Forest,Maize,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag
18.4,Forest,Forest,Forest,Forest,Forest,Forest,Maize,Maize,Maize,Forest,Maize,Forest,Ag,Forest,Forest,Ag,Ag,Forest,Forest,Forest,Forest,Maize,Forest,Rice,Ag,Forest,Forest,Forest,Forest,Forest,Forest,Maize,Forest,Maize,Forest,Forest,Forest,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Rice,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag
18.5,Forest,Forest,Maize,Forest,Forest,Forest,Forest,Maize,Maize,Maize,Rice,Forest,Forest,Forest,Forest,Ag,Ag,Ag,Forest,Forest,Forest,Forest,Maize,Forest,Forest,Maize,Forest,Forest,Forest,Maize,Forest,Maize,Forest,Maize,Maize,Forest,Forest,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag
